protocol_mode,packet_direction,packet_name
init,upstream,handshake
play,downstream,keep_alive
play,downstream,join_game
play,downstream,chat_message
play,downstream,time_update
play,downstream,entity_equipment
play,downstream,spawn_position
play,downstream,update_health
play,downstream,respawn
play,downstream,player_position_and_look
play,downstream,held_item_change
play,downstream,use_bed
play,downstream,animation
play,downstream,spawn_player
play,downstream,collect_item
play,downstream,spawn_object
play,downstream,spawn_mob
play,downstream,spawn_painting
play,downstream,spawn_experience_orb
play,downstream,entity_velocity
play,downstream,destroy_entities
play,downstream,entity
play,downstream,entity_relative_move
play,downstream,entity_look
play,downstream,entity_look_and_relative_move
play,downstream,entity_teleport
play,downstream,entity_head_look
play,downstream,entity_status
play,downstream,attach_entity
play,downstream,entity_metadata
play,downstream,entity_effect
play,downstream,remove_entity_effect
play,downstream,set_experience
play,downstream,entity_properties
play,downstream,chunk_data
play,downstream,multi_block_change
play,downstream,block_change
play,downstream,block_action
play,downstream,block_break_animation
play,downstream,map_chunk_bulk
play,downstream,explosion
play,downstream,effect
play,downstream,sound_effect
play,downstream,particle
play,downstream,change_game_state
play,downstream,spawn_global_entity
play,downstream,open_window
play,downstream,close_window
play,downstream,set_slot
play,downstream,window_items
play,downstream,window_property
play,downstream,confirm_transaction
play,downstream,update_sign
play,downstream,map
play,downstream,update_block_entity
play,downstream,open_sign_editor
play,downstream,statistics
play,downstream,player_list_item
play,downstream,player_abilities
play,downstream,tab_complete
play,downstream,scoreboard_objective
play,downstream,update_score
play,downstream,display_scoreboard
play,downstream,teams
play,downstream,plugin_message
play,downstream,disconnect
play,upstream,keep_alive
play,upstream,chat_message
play,upstream,use_entity
play,upstream,player
play,upstream,player_position
play,upstream,player_look
play,upstream,player_position_and_look
play,upstream,player_digging
play,upstream,player_block_placement
play,upstream,held_item_change
play,upstream,animation
play,upstream,entity_action
play,upstream,steer_vehicle
play,upstream,close_window
play,upstream,click_window
play,upstream,confirm_transaction
play,upstream,creative_inventory_action
play,upstream,enchant_item
play,upstream,update_sign
play,upstream,player_abilities
play,upstream,tab_complete
play,upstream,client_settings
play,upstream,client_status
play,upstream,plugin_message
status,downstream,status_response
status,downstream,status_pong
status,upstream,status_request
status,upstream,status_ping
login,downstream,login_disconnect
login,downstream,login_encryption_request
login,downstream,login_success
login,upstream,login_start
login,upstream,login_encryption_response
